;DFS;BFS;A-Star;IDA;path Length
1;45375498;21224599;14363797;1,77606E+11;63376
2;17669563;16371716;10209868;1,24757E+11;68484
3;17527666;27708860;15040516;2,8381E+11;74932
4;19210537;25785788;11555111;2,41404E+11;73260
5;16994015;18537915;14324593;1,39669E+11;61848
6;16250884;28985935;25425633;3,93365E+11;87772
7;16689449;26282867;9268665;1,68621E+11;54564
8;17218710;20864736;27758305;1,28438E+11;53296
9;16830761;23189509;6751087;1,36176E+11;44692
10;16326660;24553185;26816518;3,06748E+11;98672
Average;20009374;23350511;16151409;2,10059E+11;68089
Range;29124614;12614219;21007218;3,91218E+11;53980
