;Kruskal;BFS;A-Star;IDA;path Length
1;43885;39205;19017;21065;66
2;38034;27501;13750;6437;78
3;37449;40668;16092;8192;78
4;36278;33646;23113;26039;98
5;35693;36571;15214;12873;70
6;37157;40375;19017;13166;70
7;36572;31305;19310;14043;82
8;37449;31013;23406;13751;94
9;36572;33645;16384;10825;78
10;36864;40667;15506;11996;74
11;37449;26916;18432;8192;62
12;35987;35109;26039;7022;66
13;37449;27502;17262;10825;74
14;37156;35986;33061;15214;70
15;36572;37157;31598;162962;126
16;35694;37742;18725;8777;90
17;37450;26624;21651;24868;94
18;36864;38327;14629;6144;78
19;36571;32768;12581;9363;62
20;36864;33060;27209;9947;74
21;36864;35987;31890;15214;74
22;36864;29550;19895;9947;74
23;36572;39497;18432;8777;74
24;38034;28964;12581;6144;62
25;36571;32183;18725;13166;86
26;36279;37742;36571;26039;102
27;39205;39497;30720;15506;90
28;36571;34231;13458;5852;66
29;35693;34524;19309;11118;86
30;36278;35987;15214;6729;74
31;35987;28965;19310;7315;70
32;40960;37742;25161;16969;74
33;36572;37156;28672;16384;78
34;36279;33646;12873;7021;62
35;37157;29549;22235;12288;78
36;37742;39204;35108;30135;94
37;35987;31013;30427;17261;62
38;35986;37157;17554;13751;70
39;36278;35986;16677;12581;62
40;36279;36572;24868;11995;90
41;36571;33938;11995;6437;62
42;36864;33353;26039;54419;106
43;36864;35986;28965;40668;98
44;36572;35694;23991;12873;82
45;36572;36864;14044;6437;70
46;38327;39205;26331;26039;106
47;36864;34816;14629;6729;66
48;37742;35401;31890;26331;102
49;37157;33646;21650;19894;86
50;36864;40668;21358;9948;82
51;37449;34523;16969;9362;66
52;37157;31890;19017;8192;66
53;38034;34231;23406;16384;90
54;39790;37742;38034;68169;102
55;38035;29257;22235;11118;86
56;37450;40082;42423;150089;122
57;38034;35109;27795;64366;98
58;37449;35108;31890;47396;94
59;38035;29843;13750;8777;82
60;37742;34231;30135;27794;102
61;37156;26331;14921;8192;70
62;37156;25453;19017;11118;66
63;36279;39205;14628;6437;78
64;36279;29842;22528;11410;94
65;39790;40082;37156;41838;82
66;36571;40375;30428;18139;90
67;36571;35402;19018;11703;82
68;37742;31891;26331;10240;90
69;36865;36279;22236;13166;82
70;37157;38327;17847;7314;78
71;35401;38034;13751;6729;62
72;36864;35401;28086;17847;98
73;36571;33061;17847;14628;70
74;36864;36571;19895;12873;74
75;37156;39497;19017;10825;82
76;37449;31890;22236;9070;74
77;35986;36571;10240;4389;62
78;36279;37450;29550;190464;138
79;36571;32183;15506;9948;70
80;36279;33939;15799;12873;62
81;37449;29257;14043;8192;78
82;36279;38034;22528;10240;90
83;37157;37742;14921;13166;82
84;36572;34816;23991;16091;70
85;36279;28087;16092;7315;74
86;36279;34816;20480;12580;86
87;36571;30135;21943;7899;86
88;36279;35401;16676;10240;78
89;35986;31890;18724;8192;74
90;35694;36279;14336;7607;70
91;36279;38619;15506;7899;78
92;36571;35694;30427;76946;94
93;36571;34231;23406;11703;82
94;35987;32768;14921;6730;70
95;36572;37449;11703;4388;66
96;36571;38327;17555;8484;82
97;35986;33353;25161;74021;106
98;35986;36864;32768;15214;90
99;35986;21065;12288;5851;66
100;36572;25454;15214;7607;82
101;37157;29843;14336;7021;66
102;36279;31890;23113;34231;102
103;36279;38034;16969;11118;74
104;36572;32182;19017;7900;78
105;36279;37449;40082;22821;90
106;36279;34231;14628;11118;66
107;36571;35109;17554;9362;74
108;36279;37449;26039;19894;78
109;36864;28380;17847;15799;90
110;36864;30135;21358;10533;94
111;35694;35401;36571;14922;70
112;37157;34816;21650;14043;62
113;37449;29550;21943;16677;78
114;38912;25746;15214;7607;70
115;37157;37156;20480;10240;86
116;36572;41252;35693;26039;98
117;36864;33353;18725;9362;94
118;38912;31891;18725;8192;70
119;36864;29842;14043;9655;62
120;36571;38912;15213;7021;78
121;37157;40082;38327;105326;110
122;37157;37450;26332;12580;98
123;36571;37157;35109;31305;98
124;36864;29550;18725;9069;74
125;36571;23698;20480;9362;86
126;36864;34816;19017;10240;70
127;35109;33353;17262;8484;74
128;35987;31013;16384;8777;74
129;36279;34524;15506;6729;70
130;36572;36864;19309;16677;70
131;36279;37156;16384;8192;70
132;35987;27209;17554;12288;62
133;38327;29258;20773;11703;78
134;35987;35401;20187;11118;90
135;35986;32183;17554;8777;74
136;35402;35108;27794;14043;70
137;36571;37742;34231;20188;98
138;36864;37449;43008;24869;82
139;36278;36864;15213;9363;78
140;36279;37742;29550;176420;126
141;36572;32183;22235;12873;106
142;36864;34816;26331;13166;86
143;37450;37449;16969;8192;70
144;35986;38912;30427;7022;78
145;36571;27210;16384;11118;66
146;36279;34816;24283;11410;78
147;36279;27209;14921;7314;78
148;35694;33061;23113;32768;90
149;29258;35694;16384;10533;74
150;29549;26917;14043;8485;66
151;30135;29257;31305;66414;106
152;28379;27209;18724;6729;78
153;28087;27209;9070;4973;58
154;28087;18724;10240;4389;74
155;27795;28380;21358;11410;86
156;28672;25747;26039;11995;78
157;27794;25454;14336;4681;74
158;28380;25453;10533;5559;70
159;28380;28964;24284;13458;102
160;27794;26624;20187;14044;78
161;27502;28965;28965;13458;70
162;27794;27210;16384;7900;78
163;28379;25454;13750;6144;86
164;28086;25454;15507;7899;90
165;28087;26624;21943;72558;106
166;28672;26039;12288;5266;78
167;28380;26917;26332;11411;78
168;28672;23699;15506;9363;94
169;27501;27209;11118;4973;78
170;28379;29550;23991;89820;122
171;27795;27502;10825;7022;74
172;28087;19895;13458;9362;86
173;28087;28087;17847;11411;82
174;28087;29257;27502;62610;110
175;28087;26916;20773;26916;118
176;28086;26039;17847;62318;110
177;27795;29842;11995;13751;90
178;28087;26917;14629;11118;74
179;28086;25162;10240;6144;66
180;28380;26916;22235;11995;86
181;28087;28965;28380;22528;90
182;28087;26917;12581;6436;78
183;28672;26917;20480;10533;86
184;30135;19309;9948;6436;62
185;30427;24868;15799;8192;70
186;31598;31891;24868;36571;90
187;29549;30720;29842;12873;82
188;28379;22820;16677;6437;82
189;28380;28672;12288;6436;74
190;28380;27209;26039;10532;86
191;28672;27502;26039;10825;90
192;28380;28380;20187;15214;90
193;28380;20480;14628;11117;78
194;28087;24868;9363;5852;66
195;28087;15213;8777;3511;62
196;27501;19603;9655;4681;62
197;27209;27501;13458;5852;74
198;27209;28379;9362;6437;70
199;28672;28087;11995;5851;86
200;27209;19310;10240;9362;66
201;27794;24283;19895;10825;86
202;27209;21651;14336;6144;78
203;28380;27502;19895;15213;82
204;29257;25453;21065;25161;118
205;29550;28380;9362;4974;66
206;28964;21358;12873;5852;78
207;28965;29842;30428;24868;106
208;29842;25161;23405;9948;74
209;27794;26624;12288;10240;66
210;28379;22528;10825;4681;78
211;27502;27794;10240;9947;74
212;27795;22235;11411;5852;74
213;28672;24869;17261;5559;82
214;27502;25161;15214;8484;74
215;27794;23406;13751;7900;70
216;27794;19602;11410;5559;66
217;27794;19309;11411;6144;86
218;28379;29258;15799;8777;94
219;28087;26916;21066;33060;102
220;27502;27795;24283;27502;90
221;27795;26917;12873;6729;82
222;28672;23113;16677;8485;94
223;27794;25454;16092;8484;66
224;28087;27209;17555;7900;74
225;27502;25162;9947;7021;70
226;28086;27210;17554;8485;90
227;28379;22235;11995;6729;74
228;28087;26039;16384;10240;82
229;28087;17555;11410;5559;78
230;27209;28965;30427;15799;82
231;27794;26624;12288;4096;74
232;28379;25453;23698;7900;78
233;27795;23698;11118;7022;86
234;28087;26624;13459;8192;98
235;28379;25454;20480;20773;82
236;27794;22820;14336;15214;78
237;27794;28672;19310;39204;114
238;28087;20772;16092;33939;106
239;28087;30720;31012;59978;94
240;28379;21650;13165;5267;74
241;27794;27502;19310;13165;70
242;28379;26039;20480;33938;114
243;27794;29842;21650;94501;122
244;28672;29257;19602;42423;106
245;28087;27209;21065;74314;110
246;28380;27501;24283;6436;78
247;27794;30427;28380;6437;82
248;27795;21065;11995;6730;78
249;28379;20772;11117;6437;78
250;27794;30135;14921;7021;90
251;28087;27210;12581;9362;66
252;28087;27502;13751;11117;74
253;28672;20187;10533;5266;70
254;27501;21943;13751;7607;66
255;27502;28672;16970;26331;106
256;28087;27209;23113;24283;94
257;28379;25746;14921;6729;70
258;28087;29842;22235;7899;90
259;28672;27794;19603;9655;86
260;27794;24284;8777;14921;58
261;28672;27502;11996;6729;70
262;28379;23406;15214;5266;70
263;28379;25453;14044;8192;70
264;27502;37157;22528;13165;106
265;29843;24869;19894;19602;90
266;28672;30720;28965;5852;78
267;28672;24868;11410;6144;70
268;28086;24576;14336;9363;74
269;28380;30428;26331;24576;90
270;30427;26039;16384;11703;86
271;28087;27502;16969;11118;74
272;28672;26624;26039;26039;86
273;28672;30135;20773;30428;86
274;28379;29258;21357;14921;90
275;28379;26917;23113;13750;86
276;28379;28965;25161;14044;78
277;28379;29549;13751;6437;98
278;28672;29842;21651;71680;122
279;28086;26916;19602;8777;74
280;28672;26039;13751;7314;74
281;28379;26917;28965;12581;74
282;28672;29550;23113;33353;102
283;29257;26038;11703;4974;70
284;28087;28672;11410;4389;82
285;28379;23991;13751;7315;66
286;28087;29257;15506;7899;70
287;28087;29550;26039;43301;110
288;27794;21650;9948;8484;62
289;27501;28965;24869;54711;98
290;28379;26917;15799;6437;86
291;27502;22820;9070;4389;62
292;28379;25454;22820;11410;74
293;28087;24869;12581;6436;78
294;28379;21943;26332;5559;74
295;27794;24284;16091;19018;82
296;28379;25746;26916;14044;78
297;27794;29257;18725;10533;66
298;28087;28672;25747;11995;82
299;28380;27502;11995;6729;66
300;28964;20480;13165;8484;74
301;28672;21651;10240;4974;62
302;27502;28672;18432;8485;102
303;28672;28087;19017;29257;82
304;28380;26039;22528;13751;78
305;28379;23698;12581;6436;74
306;28087;26917;16969;10532;66
307;27794;23991;13166;8777;58
308;28087;29550;13166;10533;82
309;28087;28087;22528;37742;114
310;28672;28379;11703;4096;70
311;27501;29550;15214;9362;94
312;27502;20480;16091;4973;66
313;28379;28379;18139;9362;78
314;28672;29257;15799;31305;114
315;29842;28964;28087;122002;126
316;28965;24576;17847;10825;74
317;28965;26332;13458;6436;86
318;29257;28964;20187;13458;70
319;27502;26332;22820;11410;90
320;28380;21651;12288;6436;78
321;28380;27794;18140;8485;86
322;27794;25161;7607;3218;58
323;27502;28087;12581;5266;82
324;27502;27502;27794;84553;114
325;29549;19017;11703;7021;82
326;28087;25161;11703;9655;78
327;28087;26331;25453;86016;114
328;28672;31305;32476;125805;134
329;28672;28673;10533;9069;62
330;27794;18432;12288;8484;74
331;28086;28379;33353;205678;126
332;27794;26917;18432;11995;82
333;28379;28380;20480;75191;122
334;28379;17847;11995;4682;66
335;28672;26039;14044;7021;78
336;28672;27795;28087;46226;106
337;27794;23698;23698;39789;106
338;27209;29549;14336;8777;78
339;28379;24869;11703;9948;70
340;27794;21065;15506;15799;94
341;28087;28379;30135;42131;98
342;28087;27210;17847;10532;70
343;28086;27794;29257;87479;102
344;28087;26917;12288;5852;78
345;27209;21943;9655;9070;62
346;27794;28672;23698;104155;110
347;28087;21358;12581;7607;86
348;27795;18432;12288;5559;74
349;28379;28379;19018;8777;78
350;29257;28379;23991;21943;78
351;29842;30427;25454;38912;94
352;28672;24868;9947;7899;58
353;28965;23406;11118;4974;78
354;28087;23113;11410;8777;70
355;28379;28379;17847;7314;86
356;28087;29257;11995;6436;78
357;28964;25454;9947;6144;66
358;28087;21065;18140;9069;94
359;28087;29842;11703;12288;82
360;28380;29843;25162;87771;106
361;28672;28087;13458;8485;74
362;28672;25161;10825;4974;62
363;28379;27209;19602;26331;102
364;28965;31890;24868;15799;94
365;28086;23406;16384;14921;98
366;27794;26917;10532;4973;66
367;28672;25746;17846;41545;98
368;28087;30427;27502;66121;118
369;28087;27794;19602;10825;86
370;28380;27794;11995;8777;78
371;28379;29257;13166;7314;82
372;28379;18432;9362;4389;66
373;27794;26916;25161;87186;110
374;28380;29842;17555;11118;78
375;28379;28672;27794;124928;134
376;28087;31598;14629;6729;82
377;28087;23113;9947;8485;62
378;27794;20772;13166;7314;74
379;30720;32183;19017;73143;114
380;28087;24284;16091;9363;70
381;31306;29550;14921;8192;86
382;28672;18432;9363;4096;70
383;28087;26039;19602;8778;86
384;28965;24869;14043;6729;78
385;28087;22235;19895;10240;74
386;28672;27209;11996;6436;70
387;28087;21943;8777;3803;66
388;27501;28965;18432;11410;94
389;28087;26624;14629;6729;74
390;27795;13751;9362;4974;70
391;27794;20773;11995;5851;82
392;31305;26331;22528;14336;74
393;28379;23698;13166;6729;78
394;28087;28379;28380;39205;90
395;28379;26917;11995;5266;74
396;28087;25454;10826;7900;62
397;27794;28965;21650;42131;106
398;27794;28380;29549;10240;90
399;28380;26916;27209;63196;102
400;28672;28379;23113;12874;82
401;28087;24576;16384;17554;94
402;27794;26331;9362;12581;62
403;27795;26917;18432;11995;66
404;28379;28087;11995;24869;86
405;28672;18432;16092;5851;94
406;28379;26917;18140;10240;74
407;28379;22528;11703;4681;70
408;28380;24868;15799;15213;94
409;28087;28380;26624;81042;118
410;27794;26916;12581;5851;74
411;27502;23113;17261;9362;82
412;28379;20772;11703;6144;66
413;27794;28964;12873;6436;82
414;27502;27795;19310;11118;70
415;29550;23114;14921;7314;82
416;28087;30134;27209;14629;98
417;28379;23406;12873;9070;70
418;28087;24868;16384;9655;82
419;28380;24283;14922;7314;78
420;28380;26916;12288;5851;78
421;28379;26624;11410;7900;66
422;28087;28672;13458;4974;78
423;27501;27794;13458;6729;86
424;28672;28087;11995;5559;90
425;28087;28379;27209;9070;86
426;27795;21358;12873;6729;78
427;28087;15799;13166;7900;70
428;28379;27209;15507;7899;66
429;28379;24283;17554;24576;106
430;28379;45348;24283;10825;86
431;55589;31890;22821;14629;86
432;29842;34816;75776;11118;74
433;509952;26917;14043;6437;66
434;30134;26917;22821;10533;78
435;27794;29257;13458;6436;86
436;27794;25161;18432;7900;94
437;28087;28379;13166;5559;86
438;28087;20188;11995;6144;74
439;27795;21943;16092;8485;58
440;27501;23698;21650;26039;86
