;Prim;BFS;A-Star;IDA;path Length
1;497957;1250744;1597149;126391;74
2;240787;507612;327387;134875;66
3;124636;137801;164718;176128;78
4;94793;124636;139849;256293;62
5;91575;117614;61440;73143;62
6;91282;127853;72850;28379;74
7;87771;128731;135753;77825;66
8;88357;117322;60562;328850;66
9;92745;124928;85724;19017;74
10;93330;64073;80457;20773;70
11;89820;76654;140435;39790;74
12;95964;62318;54126;23991;66
13;106204;72266;50323;22528;66
14;117321;66998;56174;41838;62
15;120540;72850;61148;33061;58
16;94209;167936;91283;23113;66
17;93623;64951;62317;19310;58
18;83383;60855;77239;15214;66
19;81920;69047;77531;25746;74
20;77239;66707;72557;34816;62
21;79872;51492;31012;26916;58
22;78409;60855;36864;22528;62
23;88356;65243;43008;18432;58
24;77531;67292;54711;23698;62
25;80750;67877;45934;18432;62
26;77239;53248;36572;21065;66
27;86894;43008;31890;11410;62
28;78995;64073;52077;18432;58
29;79872;62318;55882;28087;66
30;79872;68754;55296;20480;82
31;81920;63781;71973;36572;58
32;85431;60270;34523;14921;70
33;78117;66121;37450;18725;58
34;67877;57930;36572;26039;62
35;67292;66414;64073;18139;62
36;53833;39205;30720;15214;62
37;55004;121125;42131;20480;70
38;60269;56759;32476;12288;70
39;58807;52663;40082;18432;70
40;55003;47689;26039;8484;66
41;53248;47397;32768;15214;62
42;55004;28672;24576;9654;58
43;55004;52078;45056;19895;62
44;53248;47396;35108;13750;66
45;54418;45349;27209;8777;74
46;53248;49737;23991;12873;58
47;53540;51492;40668;13751;58
48;54126;49737;87479;26917;62
49;54126;43008;23114;7314;66
50;55004;51493;75777;37742;70
51;52077;52955;65828;28087;74
52;52078;53249;43594;23991;70
53;54418;29842;25746;11118;62
54;52662;50030;34524;19017;58
55;54126;52078;25453;8485;66
56;51493;52370;69047;24868;70
57;52370;45934;24576;12288;62
58;52078;27794;18724;7022;66
59;53833;45348;28087;15798;66
60;52077;46811;43301;23406;66
61;58515;47689;58514;16091;66
62;53541;45056;53833;23113;70
63;58222;34816;22236;8192;70
64;54418;47689;87479;20480;62
65;54711;47982;40375;25161;66
66;53541;47396;52371;14628;82
67;54418;42423;23406;12580;58
68;51785;35109;38035;20480;66
69;52370;31598;21943;9655;74
70;52663;44763;18432;14921;66
71;62903;37742;20187;9362;66
72;51785;44764;37450;18725;66
73;52078;45934;29842;16091;58
74;53540;43300;24284;11118;62
75;52955;31598;18140;7900;62
76;51786;45641;36865;16969;70
77;52078;44178;47397;23113;66
78;55003;33353;19310;14336;66
79;54126;37742;21358;9947;70
80;55589;46226;40083;16969;78
81;52663;47396;48860;24868;66
82;53248;45934;46227;24868;82
83;54418;46518;58807;29549;70
84;57636;47690;56174;21650;70
85;54418;32475;41545;9947;62
86;57344;43885;28087;20188;62
87;58222;40082;21358;12873;58
88;55003;49445;23991;10825;58
89;55589;36864;20480;14336;58
90;53540;34523;16091;7022;62
91;54126;35109;24869;13458;66
92;70510;47397;38034;23114;82
93;55881;45056;20773;20772;58
94;54711;37741;19310;10533;58
95;55881;47104;18139;9363;62
96;55004;215333;27794;16091;62
97;54711;83676;24576;12288;66
98;54711;91575;31891;16091;58
99;53541;93038;49152;27794;78
100;54418;72265;27502;63781;78
101;55296;91867;47982;10532;82
102;54711;98304;23114;13166;66
103;45056;84261;50615;25454;66
104;31598;50030;21358;16676;70
105;24283;74021;27209;18139;62
106;27209;55004;19310;14628;66
107;23699;50615;12581;7900;66
108;24576;62903;12581;7606;58
109;28672;76361;27794;19310;62
110;25454;73143;16384;42715;58
111;23698;42423;11996;6729;62
112;23991;44763;14043;9948;70
113;23406;54418;13459;8485;66
114;23405;58514;66414;8778;78
115;24284;48274;12580;13751;62
116;23698;75191;14336;16384;70
117;23698;53540;15213;15214;62
118;24868;60562;18139;11995;62
119;24869;74021;21065;17554;58
120;25746;71680;16969;41252;62
121;25747;65244;16676;14628;66
122;24868;72265;24869;20480;74
123;24868;47982;11411;7314;58
124;23406;33646;29550;16384;78
125;23991;33646;15799;17262;66
126;24283;28380;38034;27209;82
127;24284;28964;45641;57929;78
128;25161;30428;15507;14336;58
129;24284;30135;19309;25161;74
130;26331;31306;24576;17847;62
131;24869;30135;15214;17554;66
132;25454;27795;31013;17555;78
133;24283;16969;10825;7022;58
134;55588;57052;27794;28087;66
135;26038;31597;26917;28087;66
136;27209;34524;16969;12288;66
137;27794;31890;16677;13166;66
138;27502;28964;20480;14921;66
139;24868;25454;20773;22235;70
140;25161;31890;21943;18139;62
141;23991;28087;14922;9947;70
142;23991;26332;17847;14336;74
143;28380;27209;16091;14628;58
144;23991;26039;13751;9362;62
145;25746;30135;29549;22821;66
146;23991;28964;19602;24283;66
147;24868;29842;17262;18140;58
148;24869;24576;13458;11996;62
149;26039;27502;14921;9070;70
150;23698;30428;20480;16092;58
151;23991;28672;24869;19310;70
152;25161;21943;16676;16969;58
153;26624;30720;18140;16092;70
154;24576;28965;27209;15506;62
155;25161;32768;29842;31013;74
156;26039;30428;25161;19309;78
157;26917;31597;23699;14629;66
158;26624;26039;20187;13458;62
159;26331;28379;24576;24869;58
160;24869;37742;13751;9070;66
161;26624;31012;13459;7022;62
162;24284;31012;41253;31306;66
163;23991;28672;15506;11117;58
164;24576;28380;36864;27209;66
165;23405;29257;27502;22235;86
166;22820;26624;24284;14043;70
167;25453;19603;20772;21357;58
168;23699;24284;14336;7607;70
169;23991;29550;14921;9947;66
170;25454;29549;46518;27210;70
171;27209;21065;10825;8192;58
172;23991;28965;20773;15213;70
173;23991;26916;14921;16091;62
174;25746;25453;17261;11703;58
175;23113;22528;21065;17261;62
176;24868;21065;10825;7314;58
177;24869;28964;20480;18139;70
178;23113;28379;19017;14629;66
179;23991;16969;16384;11118;66
180;23990;26039;15799;12873;58
181;23990;17262;13166;13166;66
182;23698;28965;26916;19017;62
183;23113;23699;11118;7900;58
184;25161;22235;16384;16092;66
185;24869;26039;49152;14336;58
186;23991;26039;28087;20772;70
187;24869;28965;20480;14336;74
188;23113;27501;14044;11410;78
189;24283;28965;11996;8192;66
190;25746;31305;25746;21943;62
191;25454;31013;13751;16677;58
192;25454;19602;14044;7899;74
193;27209;29257;17262;13165;58
194;26039;28965;21650;19017;66
195;25453;26916;15214;16384;66
196;25453;30135;22821;18139;62
197;26331;27794;16091;11703;62
198;25454;30720;31305;31305;70
199;23991;26624;11410;8192;62
200;24576;28672;17847;15798;62
201;23991;24284;12288;16092;58
202;23990;28379;14922;8484;70
203;23406;28086;20480;16091;70
204;24576;27795;39790;17554;66
205;22528;23698;21358;18724;78
206;25161;27501;18432;20773;62
207;24283;28672;25454;22528;58
208;25747;23698;11118;7022;62
209;23698;28672;15214;31890;58
210;23991;18432;11410;11703;62
211;25161;28087;16969;8485;70
212;23699;30135;25161;19602;58
213;23991;27209;16384;14921;70
214;23991;28672;32182;26624;58
215;25746;29843;24868;27209;62
216;24283;31013;18140;19310;74
217;25453;35694;30135;25454;62
218;24283;29550;22821;18140;62
219;23113;29257;23699;18139;62
220;25161;28672;19310;16092;62
221;24576;22821;15507;13459;70
222;24283;28087;16091;11703;58
223;23113;21357;11703;6729;62
224;23991;28087;16091;9070;62
225;25161;26039;12873;9362;58
226;22821;27209;27209;33354;70
227;26624;24283;13750;9070;62
228;26624;30428;28087;18432;62
229;25747;25453;13166;9070;58
230;23991;29257;18432;16676;66
231;32183;29257;14044;8777;66
232;25161;29257;32476;19017;66
233;25162;28672;11995;8777;58
234;23991;27501;23698;21065;58
235;24576;26917;13458;9655;62
236;24576;17847;12873;9947;62
237;24283;20773;12873;14336;62
238;24284;21650;10825;6729;58
239;26332;24868;23991;21358;70
240;23113;13751;12288;11118;58
241;23698;25161;17847;13458;78
242;23990;26916;27209;24283;62
243;27210;31598;35987;31305;66
244;23698;23406;12581;10825;62
245;23991;21943;16384;9948;82
246;28672;29257;21358;23113;70
247;29550;27501;19602;19310;66
248;23991;19602;12873;9362;70
249;23113;26624;37156;29842;66
250;25746;28380;28087;16384;62
251;23405;21358;20187;15506;74
252;26039;26916;11996;6436;58
253;23991;24283;12581;16969;58
254;24284;20772;14628;9070;62
255;23991;27209;17262;23406;58
256;23991;28380;16970;31305;58
257;28672;30135;20773;16677;62
258;24868;29550;19895;15506;74
259;23991;31012;16677;16969;66
260;23991;33939;22528;44764;62
261;43008;28379;19017;7314;74
262;25161;28379;27794;11117;58
263;23698;28965;24576;4974;70
264;23698;49445;17555;7607;66
265;25454;23698;12581;7607;62
266;27794;28672;21358;10825;62
267;24576;23406;14043;5266;62
268;23991;27210;15507;6729;62
269;27502;31012;21357;7022;70
270;24283;25161;25453;9655;66
271;23698;28964;25454;6144;70
272;24576;27209;12581;3804;66
273;24283;25454;14629;7900;62
274;23406;27209;20480;10533;70
275;22528;27210;15214;6436;58
276;23113;21066;12874;6144;66
277;23698;28087;15213;7021;62
278;23991;28965;13751;4973;62
279;22528;19602;13166;6436;70
280;24868;28380;18139;7314;62
281;22821;19895;13166;7022;62
282;23698;27209;13165;4974;70
283;23991;26624;14336;10240;58
284;33939;21650;12288;4389;62
285;22820;28380;14336;5267;66
286;23406;21358;11703;4388;66
287;23406;28380;26039;11703;66
288;23698;26331;11410;10533;58
289;23113;24284;11995;5266;58
290;22820;26624;21357;10240;82
291;41838;28672;24868;11996;58
292;22528;26917;26039;10533;70
293;23699;27209;12581;7314;66
294;23114;26038;18724;8192;82
295;23113;23698;18432;8192;66
296;23113;26916;16091;7607;58
297;23698;26038;11996;4388;58
298;23113;30720;10533;3510;62
299;24576;21065;11996;8777;66
300;26916;34231;18725;7315;74
301;24283;28379;13458;6729;58
302;59392;24576;12581;4681;58
303;23406;18725;10532;5266;58
304;23698;21358;10240;4096;62
305;23406;26624;11996;8192;62
306;23113;28087;28965;57637;70
307;24868;28379;16091;10240;66
308;23991;17554;13166;8777;58
309;22528;24283;13165;5266;62
310;22529;23698;17847;6729;82
311;22821;26331;14336;4681;74
312;23113;28087;18725;4681;62
313;22821;17554;11703;4096;70
314;22821;19895;9947;3511;58
315;26331;22821;17846;8192;66
316;23113;27502;9948;3510;58
317;22528;26916;12581;4974;66
318;22236;20773;15506;6144;70
319;22821;28965;16092;7314;62
320;55881;26916;24576;11118;82
321;23113;27210;23406;10825;66
322;22820;23113;13458;6436;66
323;23113;27794;24576;11411;58
324;23113;27502;966072;11996;62
325;26039;30135;35108;14336;70
326;23406;24576;13751;7022;62
327;23113;27209;15214;7314;62
328;23991;17847;12288;4974;58
329;25746;28672;13166;7314;58
330;23114;26039;24576;10240;66
331;23406;28964;36864;8777;62
332;23699;27795;25453;11411;74
333;23406;28087;28379;9948;58
334;23113;28087;18139;8777;62
335;22528;26624;11702;4096;66
336;43594;31305;33353;10825;78
337;33646;25454;11996;4682;58
338;28380;54418;11703;4389;58
339;28379;30428;13751;5559;66
340;22820;32183;15214;7315;58
341;24869;22236;12288;5266;62
342;20480;27501;20188;7899;74
343;20480;23991;12580;4388;70
344;20480;26624;21357;6729;66
345;20480;23990;11702;7900;62
346;21066;23991;11703;7899;58
347;21357;28086;13458;12288;58
348;21651;50615;15799;7900;74
349;22820;29843;17262;9070;58
350;23113;22821;15214;6730;66
351;20480;24869;12873;4388;62
352;21650;23113;16384;5851;82
353;20480;21065;11117;4974;62
354;20481;38912;21065;6729;74
355;21065;22821;13751;6729;74
356;20772;27794;21651;10532;66
357;22528;25454;13166;5559;66
358;20480;25453;12580;4389;78
359;22236;64659;12873;4681;66
360;21650;19895;11410;7022;62
361;21650;29257;25454;9655;74
362;24576;26331;20773;12873;74
363;21943;26624;17554;9363;66
364;21650;28380;31891;14922;74
365;20772;21065;19017;9948;62
366;20480;28672;22236;7900;90
367;22528;30720;16384;9655;62
368;21066;26331;25454;10533;66
369;21650;28672;13751;7022;62
